word,first appearance,num months,term frequency,relative term frequency
crs,1975-1,359,6530,3.7696327524942332e-06
crural,1973-12,356,1978,1.1409975762229197e-06
cry1ac,1996-3,135,1119,9.761480475224147e-07
cryopreservation,1975-3,376,8745,5.0533950650527015e-06
cryopreserved,1975-2,397,8560,4.9440107160554365e-06
cryosections,1975-9,347,2136,1.238354807930456e-06
cryosurgery,1974-8,388,2640,1.5235370133827035e-06
cryptogenic,1971-2,379,3254,1.8742483991767376e-06
cryptorchidism,1971-3,393,3235,1.8633694548260555e-06
cryptosporidium,1976-4,342,7253,4.222637448043883e-06
cs+,1970-5,400,4455,2.56514918246925e-06
csa,1975-2,408,44439,2.5666693015278916e-05
csa-treated,1981-1,283,1247,7.525068928333958e-07
csf-1,1980-9,309,4630,2.785285495781829e-06
css,1975-1,347,4725,2.7276439135582314e-06
ct-scan,1976-6,327,1812,1.0561735077921667e-06
ctl,1975-3,405,39551,2.2854983215311537e-05
ctla4,1992-7,180,1423,1.0693122207466807e-06
ctls,1975-12,338,7778,4.517440167566387e-06
cts,1975-9,341,6767,3.923196154150467e-06
ctx,1972-4,377,7293,4.20302618576947e-06
culture-negative,1974-8,359,1737,1.0024181031233924e-06
culture-positive,1975-2,381,3078,1.7777646009367563e-06
cumene,1974-5,344,1384,7.985734357999372e-07
cumulus,1975-5,367,5518,3.191991408093935e-06
cusp,1970-5,400,3519,2.02620874817268e-06
cvd,1976-6,324,21192,1.235233387258918e-05
cx32,1989-12,196,1909,1.3290058526479876e-06
cx43,1989-12,222,8090,5.632088710278795e-06
cxc,1991-6,188,2817,2.0456392367327436e-06
cxcr1,1996-11,137,1062,9.585616108245528e-07
cxcr2,1996-12,152,1918,1.7387556055207558e-06
cxcr3,1997-3,142,2806,2.5787461184092632e-06
cxcr4,1996-11,157,10427,9.411414233585323e-06
cyanobacteria,1975-6,351,5549,3.2116336364761273e-06
cyanobacterium,1975-6,363,3648,2.111378537730206e-06
cyclin-dependent,1991-9,215,9866,7.217943867567875e-06
cyclo-oxygenase,1974-9,393,3449,1.990514137641668e-06
cyclo-oxygenase-2,1995-6,143,612,5.152462918444205e-07
cyclooxygenase,1975-8,393,18666,1.0815843577513088e-05
cyclooxygenase-1,1993-5,176,987,7.63471544158954e-07
cyclooxygenase-2,1993-5,189,7630,5.902014064774892e-06
cyclophilin,1984-11,256,2765,1.7450358864736705e-06
cyclosporin,1976-7,366,19098,1.113874466843342e-05
cyclosporine,1982-5,326,25789,1.575954929475861e-05
cyp1a,1991-7,213,2641,1.922853086803094e-06
cyp1a1,1989-4,235,8766,5.99886698606776e-06
cyp1a2,1989-7,226,6032,4.154657740507572e-06
cyp1b1,1994-5,160,2814,2.2618320618822977e-06
cyp2a6,1991-11,183,1872,1.3766815009025614e-06
cyp2b1,1990-10,205,1387,9.879784196279818e-07
cyp2c19,1993-10,183,3445,2.705809334390453e-06
cyp2c9,1991-9,193,3749,2.7427601418520135e-06
cyp2d6,1989-12,222,7359,5.123181807038523e-06
cyp2e1,1990-9,222,6828,4.852161955339517e-06
cyp3a,1990-3,216,5198,3.6433774303915602e-06
cyp3a4,1991-2,204,8823,6.345436542376274e-06
cyp7a1,1998-6,113,980,9.688728499260622e-07
cystatin,1983-4,287,6628,4.090529798457943e-06
cysticercosis,1975-1,364,2363,1.3641105963466881e-06
cystoid,1975-1,373,2004,1.156867386829777e-06
cystometry,1975-1,364,1609,9.288421284476602e-07
cystoscopic,1974-4,345,1179,6.802505069168792e-07
cystourethrography,1974-8,345,1151,6.642390539407166e-07
cytarabine,1973-10,365,3781,2.1808262511587225e-06
cytoarchitecture,1972-7,371,1425,8.213488847773259e-07
cytochalasin,1970-6,451,10883,6.266565119022087e-06
cytokeratin,1979-8,332,12050,7.186285767622523e-06
cytokeratins,1980-12,325,4001,2.4124346749952813e-06
cytokine,1978-10,314,108601,6.435521658970333e-05
cytokine-induced,1984-9,253,3675,2.31332201978073e-06
cytokine-mediated,1988-6,241,1305,8.767581765243105e-07
cytometer,1977-5,344,2449,1.437474527638812e-06
cytometric,1975-7,368,16889,9.780765216157062e-06
cytometry,1976-1,387,52858,3.071906687644364e-05
cytoprotection,1977-8,325,2133,1.2540705886349533e-06
cytoprotective,1977-6,347,5273,3.0968767104491875e-06
cytoskeletal,1975-7,398,22811,1.3210316498653488e-05
cytoskeleton,1975-2,392,27275,1.575325844397337e-05
cytoskeletons,1977-11,318,1133,6.671845463429507e-07
cytosolic,1971-3,430,64316,3.704620397421718e-05
cytosols,1971-7,389,2344,1.3503385904021346e-06
cytostatic,1975-1,420,7249,4.1846964506632e-06
cytotoxin,1970-12,380,3529,2.032492935267079e-06
cze,1988-9,217,2499,1.6874995144387276e-06
d-ala2,1975-1,352,2484,1.4339613716991845e-06
d4,1972-6,375,6008,3.462762161181518e-06
dab,1972-1,381,2358,1.358752067198221e-06
dacarbazine,1976-6,329,1510,8.801445898268055e-07
daclizumab,1998-1,120,984,9.484354416664767e-07
dacron,1971-2,419,4810,2.7704778119361117e-06
damgo,1989-2,243,2935,2.000115923584167e-06
danazol,1975-1,366,3274,1.890011888463418e-06
dantrolene,1974-9,396,2946,1.7002188024042777e-06
dapi,1976-2,339,2464,1.4328048726990929e-06
databases,1979-2,302,27761,1.6492333495317544e-05
daudi,1973-10,376,2611,1.505987130858351e-06
daunorubicin,1971-12,410,4487,2.5854171018262073e-06
dawley,1974-3,388,2823,1.6287045690255242e-06
day-1,1975-3,379,5220,3.0164347901172216e-06
dbcamp,1972-6,394,3968,2.2869907216325337e-06
dbh,1971-12,402,3829,2.2062763723852346e-06
ddavp,1975-2,376,3834,2.214408538008942e-06
deae-sepharose,1977-8,348,1159,6.814195087800801e-07
debate,1970-9,411,19490,1.1223687660876e-05
debulking,1975-9,330,2999,1.73868261656528e-06
dec,1974-6,386,3665,2.1148370493615993e-06
decompressive,1975-4,366,2305,1.3326971709651312e-06
deconvolution,1972-2,365,3889,2.2410612602128493e-06
decorated,1973-6,355,1657,9.555627448244237e-07
decorin,1988-11,234,4122,2.793262244876966e-06
defensins,1985-10,239,2045,1.3092150484020165e-06
deferoxamine,1975-5,336,3496,2.0223272857369334e-06
deglycosylated,1979-5,332,2065,1.2291424847515441e-06
deglycosylation,1977-10,318,2106,1.2394824805866704e-06
delinquent,1974-12,338,1457,8.410333083460625e-07
delta-opioid,1982-6,303,3044,1.8617187505666883e-06
deltapsim,1997-2,131,1137,1.0402114132629356e-06
delusional,1975-3,359,2095,1.2106189435432144e-06
delusions,1975-2,392,3435,1.983957571220844e-06
demented,1975-1,392,4748,2.7409213336665574e-06
demyelinated,1972-12,360,1361,7.846438856769915e-07
denial,1972-10,395,2816,1.6233241332860025e-06
dentition,1975-1,411,6737,3.889129533469166e-06
deoxynucleotidyltransferase-mediated,1995-7,142,395,3.338704726020726e-07
dependently,1975-4,371,6473,3.7425374349923184e-06
depolarisation,1975-6,344,1625,9.405126435887019e-07
depressives,1974-5,365,1871,1.0795743485416781e-06
deprotonation,1973-6,363,3475,2.003971356828529e-06
derivatization,1970-7,421,10127,5.831428698430308e-06
derivatized,1971-9,415,5716,3.2931313113267028e-06
dermatophagoides,1972-1,385,2356,1.3575996057332522e-06
descemet,1975-1,355,1644,9.490468981777212e-07
descriptors,1972-2,378,7676,4.423344364462286e-06
desflurane,1990-1,222,4152,2.8973985695777732e-06
desmin,1976-12,360,7961,4.6577963641853575e-06
desmoplastic,1975-1,338,2291,1.322546498616277e-06
desmosomes,1971-11,417,3285,1.8927362381874872e-06
destabilized,1973-10,358,2781,1.604040678252422e-06
detachments,1974-3,401,2306,1.330426048945398e-06
deteriorates,1974-3,348,1368,7.892553490708173e-07
dev,1975-4,338,2017,1.1661822966753448e-06
dexamethasone-treated,1974-10,358,1405,8.109181980005516e-07
dexmedetomidine,1988-12,219,3391,2.3018507995716336e-06
dfmo,1980-8,320,3970,2.386612085373289e-06
dgge,1988-5,226,3626,2.4321778813284255e-06
dh5alpha,1996-2,143,529,4.5958287059752735e-07
dha,1970-7,399,15576,8.9691254474919e-06
dhfr,1975-2,350,6631,3.829875590906962e-06
dhpg,1981-3,281,1984,1.1990892416783096e-06
dhplc,1997-10,128,1568,1.488811823169695e-06
dht,1971-8,422,10018,5.77143932836568e-06
di-n-propylamino,1981-11,299,1530,9.303887508809877e-07
diacylglycerol,1973-7,405,10027,5.782635248544569e-06
diagnostics,1971-9,422,12294,7.082882495005334e-06
diaphysis,1971-11,382,2078,1.1972925123146417e-06
diastereomeric,1975-1,357,2107,1.2163271377496707e-06
diastereomers,1974-10,357,2444,1.4105936483369026e-06
dic,1970-8,412,8112,4.671323972444268e-06
dichotic,1975-1,393,2277,1.3144645907242525e-06
diclofenac,1975-5,349,9944,5.7522947738467004e-06
didanosine,1991-2,215,2111,1.5182156342464371e-06
didn,1975-2,357,2603,1.5034182119033062e-06
dids,1975-4,357,3870,2.2375436232690055e-06
dietetic,1975-1,378,1857,1.072007353963521e-06
dieting,1975-4,337,2991,1.729326350697053e-06
dietitian,1975-1,338,1214,7.008168700655435e-07
dietitians,1973-7,370,2270,1.3091235677865935e-06
diffusion-weighted,1989-3,214,4743,3.238862490843163e-06
digestibilities,1975-3,345,1865,1.0777108972353675e-06
digitally,1975-5,336,2110,1.220569385842371e-06
digitized,1970-2,400,5941,3.4204241567070903e-06
digoxigenin-labeled,1989-11,224,1129,7.84281337023317e-07
dilemmas,1974-2,367,3862,2.228015845450237e-06
diltiazem,1975-6,378,14482,8.381848679662511e-06
dimethylamino,1972-9,384,2294,1.3223451348493962e-06
dimyristoylphosphatidylcholine,1975-1,367,1413,8.156954179593188e-07
dinitrate,1970-4,397,2871,1.653037137482975e-06
dipalmitoylphosphatidylcholine,1975-1,391,2037,1.1759175982895486e-06
dipeptidyl,1974-4,379,2901,1.6737970488260107e-06
diphosphonate,1971-9,410,1578,9.091254739806748e-07
dipropionate,1975-1,395,2139,1.2348000700742978e-06
dipyridamole,1970-6,425,10616,6.112823238402873e-06
direct-acting,1975-8,332,1122,6.501326740581637e-07
disassembly,1971-4,386,5853,3.3714717563190767e-06
disastrous,1975-1,351,1052,6.072976501721184e-07
discriminant,1970-9,424,14679,8.453181691841909e-06
disintegrin,1991-12,199,1691,1.246645098158299e-06
dislocations,1972-10,411,5088,2.933051559005391e-06
dismutase,1971-5,435,31166,1.7952963586788987e-05
disproportion,1971-5,374,1160,6.682101572442799e-07
disruptions,1974-6,390,4470,2.5793510533823596e-06
dissatisfaction,1975-1,395,6635,3.830247061684416e-06
disulfide-linked,1970-8,384,2345,1.3503765674780335e-06
dizocilpine,1989-8,230,2456,1.6950082256209437e-06
dlbcl,1997-11,126,3534,3.3724926393988267e-06
dlco,1975-3,343,3091,1.786168570163282e-06
dm,1971-11,413,40337,2.3241187713780416e-05
dmd,1975-1,386,7462,4.307656906449e-06
dmf,1973-4,377,4559,2.6288506146319913e-06
dmh,1975-4,365,3004,1.736842647105967e-06
dmpc,1976-7,359,4300,2.5079381125910413e-06
dms,1974-12,354,3181,1.8361887123190286e-06
dna-damaging,1975-7,355,3162,1.8311788509378076e-06
dna-pk,1990-12,195,2438,1.744839239848547e-06
dna-pkcs,1995-3,162,1607,1.3378994439906371e-06
dnmt1,1997-7,134,1978,1.8521489600445774e-06
dnmt3b,1999-5,109,994,1.0444514151127218e-06
dnqx,1988-4,212,930,6.227276217104062e-07
dobutamine,1974-5,394,13855,7.99438941691339e-06
docetaxel,1993-8,190,11579,9.037829107172945e-06
dofetilide,1992-2,174,1389,1.029439745909665e-06
dominant-negative,1988-7,227,11005,7.406826168417944e-06
domperidone,1978-9,349,2491,1.47518467728009e-06
donepezil,1997-3,142,2979,2.7377350986248025e-06
donovani,1974-4,387,4031,2.32577590617637e-06
dopac,1970-1,401,6381,3.6736275501050415e-06
dose-,1971-11,396,7930,4.569071040738744e-06
dose-dependently,1975-3,409,18949,1.0949889432553875e-05
dose-escalation,1986-3,234,1021,6.581884473719383e-07
dose-limiting,1972-6,386,6396,3.686389278115344e-06
dosimetric,1972-9,363,4134,2.382988137518485e-06
dot-blot,1982-2,310,2149,1.3098913239611477e-06
double-label,1971-7,373,1400,8.065162229364286e-07
double-masked,1976-12,341,1494,8.741047315780585e-07
doublecortin,1998-1,119,559,5.387961502963013e-07
down-regulate,1978-1,322,4281,2.5236838592819206e-06
down-regulated,1978-2,337,19949,1.1766280363483964e-05
down-regulates,1981-10,281,2750,1.6710017109599192e-06
down-regulation,1978-2,362,32218,1.900275807061639e-05
downregulated,1983-4,273,12352,7.623147868218544e-06
downregulation,1978-11,312,19332,1.1463087632177682e-05
doxorubicin,1975-3,405,27967,1.6161040569963282e-05
dpcpx,1986-3,246,1738,1.1204030573285296e-06
dpdpe,1984-8,264,2349,1.4768609611869848e-06
dpm,1971-11,376,2117,1.2197633534986029e-06
dpoae,1990-4,197,2467,1.733187088500892e-06
dppc,1975-1,371,6593,3.806001338008343e-06
dqa1,1989-1,224,1208,8.21572055548663e-07
dqb1,1988-5,244,2004,1.344204212405451e-06
dr1,1981-1,303,1648,9.944918679947364e-07
dr3,1980-11,339,3013,1.815336660964929e-06
dr4,1980-5,341,4424,2.654178297017686e-06
dr5,1981-3,307,2561,1.5478163044043099e-06
drb1,1988-5,248,2433,1.631960503384462e-06
drg,1975-1,364,14502,8.371702017866978e-06
drgs,1979-6,315,2563,1.5265121830699092e-06
droperidol,1971-9,370,2942,1.6949601675862771e-06
dropout,1975-3,354,3182,1.838753927615517e-06
dropouts,1975-3,344,1507,8.708366338518492e-07
drowning,1975-2,347,2292,1.323793523504563e-06
drug-related,1972-1,415,5636,3.247636408282092e-06
dsc,1975-1,338,7155,4.130432211959607e-06
dsdna,1976-8,345,4458,2.601710913226297e-06
dsm,1975-2,345,5809,3.3551119450427602e-06
dsm-iii-r,1986-4,273,5891,3.803029130584688e-06
dsrna,1971-11,381,6631,3.820619176688349e-06
dth,1975-1,409,8379,4.837021873376597e-06
dtmax,1975-1,379,2917,1.683923237216796e-06
ductal,1970-5,426,24224,1.3947962692735154e-05
ductular,1971-11,371,1794,1.0336586944622077e-06
dulbecco,1974-6,376,1869,1.0784803397699397e-06
duplications,1971-10,419,6999,4.032471678983179e-06
dutp-biotin,1994-9,173,855,6.966034790034925e-07
dvt,1975-2,382,13701,7.913305002415367e-06
dxa,1990-9,217,6953,4.940990344973003e-06
dy,1975-1,362,2565,1.4807209816458972e-06
dyad,1973-4,380,2881,1.661267519358361e-06
dynorphin,1979-12,347,5748,3.4370776206151846e-06
dysarthria,1975-2,385,2611,1.5080387826659749e-06
dyskinesia,1975-1,416,7934,4.580132658237251e-06
dyskinetic,1975-1,359,1428,8.243546049864878e-07
dysmorphic,1971-6,378,3103,1.7875290873553701e-06
dysphoric,1975-8,339,1594,9.236287722359296e-07
dysplasias,1971-6,397,2866,1.6510017287658688e-06
dysplastic,1971-2,419,10974,6.320836488188543e-06
dysregulated,1986-4,236,3326,2.1471524169622596e-06
dysregulation,1975-4,349,10350,5.9841282947892005e-06
dysrhythmia,1974-10,368,1273,7.347322890069055e-07
dystonia,1971-2,391,10240,5.89806502998457e-06
dystonic,1975-4,364,2265,1.3095701050915497e-06
dystrophies,1971-2,385,2704,1.5574577969803006e-06
dystrophin,1987-12,261,8497,5.6522312717768684e-06
dysuria,1974-4,368,2010,1.159714604667453e-06
dz,1973-11,373,4009,2.3124510059176873e-06
e-box,1990-8,211,1967,1.394612274305507e-06
e-cadherin,1986-9,246,15970,1.0383039838464503e-05
e-selectin,1991-11,214,9075,6.673816570881808e-06
e1a,1975-2,353,8222,4.748791601332686e-06
e2f,1987-2,242,5629,3.686926331881931e-06
e2f-1,1993-3,191,2259,1.73669024944162e-06
e2f1,1993-3,184,2962,2.277147640038105e-06
e4,1975-4,369,6256,3.617073102628139e-06
ea,1970-1,426,16364,9.420974961592053e-06
eac,1972-8,368,2753,1.5868626055442536e-06
early-onset,1975-1,361,8041,4.641901525697723e-06
ebna,1974-3,347,1660,9.57722134106401e-07
ebpalpha,1995-10,160,2963,2.532562765512453e-06
ebpbeta,1995-10,159,3269,2.794109915781373e-06
ec50,1975-2,380,17914,1.0346613080305734e-05
ecgs,1970-4,410,4603,2.650271662777476e-06
echinococcosis,1975-1,343,2015,1.1632174573163675e-06
echocardiogram,1975-1,415,5771,3.3314778889194823e-06
echocardiograms,1975-1,415,4389,2.533678124149646e-06
echocardiographic,1975-1,419,26388,1.5233241818195686e-05
echocardiographically,1975-1,389,1696,9.790654132052404e-07
echocardiography,1970-3,420,64160,3.6940158809312376e-05
echogenic,1975-9,373,3416,1.980440086091029e-06
echogenicity,1977-11,353,3316,1.9526778073020516e-06
echographic,1974-1,401,1818,1.0487634864761294e-06
echography,1973-6,403,2597,1.4976442053766015e-06
ecm,1975-8,353,20664,1.1973566467680833e-05
ecori,1974-4,420,7563,4.363642564726342e-06
ecotropic,1975-6,363,2028,1.1737597791987e-06
ecs,1972-2,377,13375,7.707429764810198e-06
ect,1973-11,410,10429,6.015602778926306e-06
ectasia,1973-12,385,2681,1.5465189594811162e-06
ectodomain,1985-3,257,3780,2.3979633937033053e-06
ectopia,1975-1,364,1484,8.566822365545853e-07
ectopy,1975-3,364,1658,9.580936555583052e-07
eds,1976-2,366,8339,4.849090841492588e-06
ee,1972-10,380,15486,8.927129804001077e-06
eegs,1974-12,411,3496,2.0180181509799824e-06
ef-tu,1973-10,358,3016,1.7395852878854026e-06
efavirenz,1998-6,131,2264,2.23829401248225e-06
efferents,1971-5,402,2225,1.2816962067832092e-06
egf,1970-9,402,57890,3.333705893730691e-05
egf-induced,1978-6,306,2416,1.4282646219264603e-06
egf-r,1984-1,264,3939,2.4558165374393852e-06
egf-stimulated,1979-6,294,1148,6.837440445432134e-07
egr-1,1988-4,237,5789,3.876312045248969e-06
eicosanoid,1981-7,317,4002,2.4262953626724182e-06
eicosanoids,1981-7,324,4588,2.78156999598727e-06
eicosapentaenoic,1975-5,358,4382,2.5348507340100804e-06
eif2alpha,1996-9,139,1725,1.5430733895069833e-06
eif4e,1995-4,164,3390,2.8329348403785663e-06
eif4g,1995-3,152,1265,1.0531691329484482e-06
ejaculate,1971-12,406,3113,1.7937159433886746e-06
electroanatomic,1998-3,121,550,5.353596804960968e-07
electrodiagnostic,1975-3,369,2248,1.2990316873914777e-06
electrogram,1974-11,395,2459,1.4193465688918931e-06
electrophoresed,1971-9,371,1204,6.936546708952677e-07
electrophysiologic,1970-10,420,11334,6.527148034704435e-06
electroporated,1986-12,251,977,6.379956639411583e-07
electroporation,1984-5,283,6198,3.882677252953874e-06
electrospray,1988-3,238,12006,8.025939810728511e-06
elisa,1972-11,404,94511,5.448499505281364e-05
elisas,1980-1,316,3908,2.3384374297810563e-06
ellipticity,1971-12,367,1188,6.845276391730631e-07
elutriation,1975-1,342,1513,8.734233314737787e-07
embo,1983-8,300,1404,8.702453184734706e-07
embolisation,1975-2,382,2571,1.4849359288526317e-06
emphasise,1971-6,393,2271,1.3082431702816776e-06
emphasises,1974-12,366,1796,1.0367164185240413e-06
enalapril,1982-4,324,10757,6.567763347093144e-06
enalaprilat,1984-8,255,1984,1.2473785214963721e-06
enantioselective,1983-1,266,4840,2.978240160830285e-06
encephalopathies,1973-10,352,2203,1.2706586171125803e-06
end-expiratory,1971-3,421,5215,3.0038552417056813e-06
end-points,1973-7,352,2269,1.3085468613690663e-06
end-stage,1970-9,417,21389,1.2317262974780746e-05
endangered,1975-1,353,2752,1.5886721799179371e-06
endocannabinoid,1997-8,134,2569,2.416043035863914e-06
endocannabinoids,1998-2,124,1561,1.5118139056061944e-06
endocardium,1970-4,417,2975,1.712917270641536e-06
endocervical,1974-6,403,4483,2.5868525217702725e-06
endocrinology,1972-6,382,2713,1.563660742890389e-06
endocytic,1975-4,384,10192,5.892776384588554e-06
endocytosed,1975-1,376,2471,1.4264567429423047e-06
endocytosis,1970-12,424,22001,1.2671260149847266e-05
endodontic,1975-1,401,6170,3.5618122638421774e-06
endoglycosidase,1975-2,353,2276,1.3145523819792258e-06
endograft,1994-9,151,1504,1.2253703303172546e-06
endoleak,1997-5,144,2439,2.262499917568102e-06
endoleaks,1996-9,146,1797,1.6074799309820575e-06
endometritis,1975-1,382,2523,1.456475257969824e-06
endomyocardial,1970-9,405,4127,2.3766115431726654e-06
endoneurial,1975-2,355,1649,9.524151484550718e-07
endonucleases,1972-11,422,5618,3.23874154549954e-06
endoperoxide,1972-11,391,1799,1.0371121467343668e-06
endoprosthesis,1975-2,369,1930,1.1147126964938075e-06
endoscope,1972-3,391,5434,3.131516947391102e-06
endoscopically,1975-1,415,7499,4.32901623444935e-06
endosomal,1983-5,298,7483,4.623104417989946e-06
endostatin,1997-1,141,3355,3.0562573980672977e-06
endothelin,1988-3,258,17248,1.1530185728422902e-05
endothelin-1,1989-5,247,15673,1.0748697923801589e-05
endothelins,1989-1,229,1429,9.718762147177478e-07
endothelium-denuded,1985-3,275,1702,1.0797179090166733e-06
endothelium-dependent,1982-3,311,13479,8.222537627923438e-06
endothelium-derived,1982-2,301,5521,3.365244299483246e-06
endothelium-independent,1982-10,287,3206,1.967478238900557e-06
endothelium-intact,1985-6,247,1208,7.693091962471116e-07
enflurane,1974-7,387,5369,3.0982642095084367e-06
engagement,1975-1,363,12126,7.000086792763411e-06
engraftment,1971-6,390,12422,7.155876997463232e-06
enhancer-binding,1986-5,254,1427,9.225927569811944e-07
enigmatic,1975-6,342,2758,1.5962669975493169e-06
enkephalin,1975-12,396,8715,5.061647089269872e-06
enkephalins,1976-8,364,1970,1.149701771883312e-06
enoxaparin,1988-12,213,4513,3.063477634463811e-06
enquiry,1975-1,352,1379,7.960679273644024e-07
enrofloxacin,1988-8,212,1992,1.342853238798335e-06
ent,1971-8,394,4806,2.7687699552930184e-06
enteral,1975-2,406,12485,7.2109782464897334e-06
enterocolitica,1971-2,423,5963,3.43458611072246e-06
enterocolitis,1971-11,415,4976,2.8670488649074387e-06
enterocyte,1972-11,384,3223,1.858039160047173e-06
enterocytes,1970-9,405,6975,4.016686579507958e-06
enterohemorrhagic,1986-10,230,993,6.465357594396936e-07
enu,1975-6,347,2158,1.2490007906857961e-06
env,1974-7,389,12844,7.411828181584347e-06
enzyme-linked,1972-11,412,41576,2.3968301619026143e-05
eog,1975-1,361,1681,9.704062261780713e-07
eotaxin,1993-12,173,3644,2.8803945929384467e-06
ephrin,1997-11,126,889,8.483718043083071e-07
ephrins,1997-11,127,547,5.220015488826141e-07
epi,1974-6,395,8930,5.152931746466325e-06
epibatidine,1993-12,160,1057,8.355041396092036e-07
epicardium,1970-4,399,2650,1.5257918545210322e-06
epicutaneous,1975-2,337,900,5.198142108002211e-07
epidermolysis,1971-6,395,2851,1.6423607567032422e-06
epirubicin,1984-4,287,4345,2.718529017650686e-06
epitope,1975-5,372,44946,2.5999863325152232e-05
epitope-specific,1984-3,251,1021,6.380257343611838e-07
epitope-tagged,1990-6,210,1813,1.2794742941186544e-06
epitopes,1975-10,366,46742,2.711546889165562e-05
epo,1974-12,353,22284,1.286313400355776e-05
epoetin,1989-3,213,3320,2.2671354563776727e-06
epor,1990-11,199,2337,1.668744807343862e-06
eps,1973-6,384,9918,5.7195360912303165e-06
eptifibatide,1997-5,136,1436,1.3320827722951187e-06
eq-5d,1997-5,128,2028,1.8812422438819643e-06
er-alpha,1996-12,144,2223,2.0152521955540353e-06
er-beta,1996-12,135,1465,1.3280901783565731e-06
eralpha,1996-6,149,11965,1.0568010664927228e-05
erbb-2,1987-3,239,2779,1.8229535411539335e-06
erbb2,1987-7,229,5511,3.6376055407336973e-06
erbeta,1996-6,147,7111,6.280745828524657e-06
ercp,1975-1,399,8898,5.136629744516644e-06
erectile,1975-1,392,15044,8.684587309115351e-06
ergometry,1975-2,399,2570,1.484358357507298e-06
erk1,1990-7,217,19036,1.3467378280029644e-05
erk2,1991-5,213,5085,3.6839501293999254e-06
erks,1991-5,205,2183,1.581526673054088e-06
erod,1983-3,267,3373,2.0795279143891367e-06
erp,1970-1,393,10437,6.008721319612336e-06
erps,1976-11,334,6344,3.709335809791322e-06
error-prone,1974-1,349,1744,1.0060745436822716e-06
erythroleukemia,1971-2,413,3798,2.187583103894668e-06
esbls,1995-7,145,1250,1.0565521284875714e-06
escalated,1975-5,334,2289,1.3241153195228376e-06
escalating,1975-1,355,3878,2.238688486090756e-06
esi-ms,1990-5,197,4340,3.0562193995064353e-06
esmolol,1983-6,266,2271,1.4045113695575716e-06
esophagectomy,1975-2,344,4659,2.6909048979091444e-06
esotropia,1975-1,338,2189,1.2636640268315278e-06
esrd,1977-7,328,13251,7.786659963256014e-06
estimator,1974-8,344,4391,2.534034479455853e-06
eswl,1984-1,291,5055,3.151600049950772e-06
et-1-induced,1989-6,229,1814,1.2465813451509648e-06
et-3,1989-4,223,2719,1.8607026391875701e-06
etanercept,1998-9,124,4210,4.228626197703504e-06
etest,1993-11,168,1424,1.1221128674201773e-06
ethinyl,1971-11,408,2704,1.557978322087965e-06
ethnicity,1974-2,382,19180,1.106508128320444e-05
etiologies,1971-5,420,9206,5.303054058267966e-06
etiopathogenesis,1975-1,365,2275,1.3133100324539632e-06
etomidate,1975-3,370,3511,2.0288702199428284e-06
etoposide,1981-11,328,17940,1.090926417699668e-05
euglycaemic,1982-1,288,1130,6.882433297472485e-07
euglycemic,1974-4,359,4178,2.41059085487593e-06
eur,1974-4,413,3726,2.149799311935786e-06
eus,1984-2,251,8225,5.133871578041931e-06
euthymic,1975-5,335,1840,1.064382781966807e-06
evaluative,1971-4,393,2568,1.4792310729928906e-06
event-related,1975-1,373,10150,5.859383221717683e-06
evidence-based,1992-5,195,19005,1.4202095483954308e-05
ex-smokers,1975-1,361,2465,1.422993068131437e-06
exacerbate,1974-2,388,5272,3.0414550847264753e-06
exam,1975-3,365,6471,3.739338989817728e-06
exams,1975-3,340,3241,1.8728477307988342e-06
excisions,1972-12,391,1922,1.108071673968536e-06
excitotoxicity,1983-12,257,4187,2.6071337819217824e-06
exocytosis,1971-9,432,16097,9.273886409801599e-06
exon,1979-10,352,67350,4.0217880471957636e-05
exon-intron,1978-10,306,1813,1.0743548188058318e-06
exons,1979-7,355,36416,2.1703934913327387e-05
exophytic,1975-1,339,1388,8.012634395807038e-07
expansions,1973-9,357,4845,2.7943896101412903e-06
expansive,1975-1,348,1571,9.069055213121655e-07
expectancies,1975-6,345,3372,1.9516360825729863e-06
expedient,1974-1,371,1219,7.032138008880097e-07
expertise,1973-7,418,11693,6.743428140144774e-06
explantation,1973-10,390,2153,1.2418193384672653e-06
explores,1971-3,417,12122,6.9823074285630434e-06
exported,1974-7,376,3421,1.9741407824042395e-06
expressive,1973-10,393,3259,1.8797441821016337e-06
expressivity,1971-6,392,1431,8.243487347745842e-07
extra-articular,1975-5,339,1646,9.521598147376979e-07
extraembryonic,1975-2,339,1716,9.911124285924215e-07
extranodal,1975-3,375,4528,2.616554929051873e-06
extrathoracic,1975-1,378,1553,8.965144968795627e-07
extubation,1975-4,370,6906,3.992887923073837e-06
eysenck,1975-2,355,1030,5.948984856935864e-07
f-fdg,1999-11,107,3080,3.3548778176863124e-06
f0,1975-1,382,4775,2.7565078703154615e-06
f344,1971-6,406,7774,4.478327787657315e-06
f4,1973-7,365,3530,2.0357736538707817e-06
f9,1975-1,357,3524,2.034331672249568e-06
facies,1971-6,384,1247,7.183528108063637e-07
facs,1975-8,370,6693,3.878197849796158e-06
factor-1,1979-11,300,8457,5.053646724772521e-06
factor-1alpha,1995-8,147,1362,1.1552718232838608e-06
factor-alpha,1984-8,284,27690,1.7409229465844023e-05
factor-bb,1989-10,195,584,4.0478453350125756e-07
factor-beta,1983-6,294,11516,7.122128107364595e-06
factor-i,1979-8,303,5389,3.213850124623882e-06
